title,author,author_company,repo,number,closed,created_at,closed_at,updated_at,labels,thumbs_up,thumbs_down
Anon: Strict anonymous user roles to only be Viewers,eleijonmarck,Software Engineer - Grafana Labs,grafana/grafana,102069,false,2025-03-12 22:02:30,,2025-03-12 22:03:52,internal,71,29
Pyroscope suddenly quits due to py-spy error,apowers313,@amazon,grafana/pyroscope,4002,false,2025-03-12 21:10:29,,2025-03-12 21:10:29,,25,75
OAuth: CORS issue on reauthorize,bdekonin,Royal FloraHolland,grafana/grafana,102063,false,2025-03-12 20:03:33,,2025-03-12 20:06:52,"type/bug, area/auth/oauth, automated-triage",86,14
Helm chart read deployment doesn't honor global extraEnvFrom or extraEnv,evilhamsterman,Qumulo,grafana/loki,16713,false,2025-03-12 19:19:04,,2025-03-12 19:19:04,,42,58
[Bug] Grafana crashing with URL Global Query,arnaudin182,,grafana/grafana-infinity-datasource,1178,false,2025-03-12 18:45:47,,2025-03-12 19:01:07,,90,10
How to increase the timeout for Outgoing Webhooks?,augustovan,Raizen Energia,grafana/oncall,5499,false,2025-03-12 18:35:35,,2025-03-12 18:45:37,"feature request, needs triage, part:API",74,26
"Prometheus: Wrong ""Frame Type"" with Format As Table",kylebrandt,@grafana ,grafana/grafana,102059,false,2025-03-12 18:21:24,,2025-03-12 18:21:24,"type/bug, datasource/Prometheus, area/dataplane, internal, area/expressions/sql",10,90
AWS EC2 Persistent Volumes missing cluster_name label,Pokom,@grafana ,grafana/cloudcost-exporter,450,false,2025-03-12 17:36:40,,2025-03-12 18:29:46,,79,21
Table Viz with SQL Expressions: `Value` overrides cause Confusion,kylebrandt,@grafana ,grafana/grafana,102055,false,2025-03-12 17:11:44,,2025-03-13 15:48:10,"area/panel/table, internal, area/expressions/sql",30,70
feature request: add item tags in the labels of the response when datasource queries zabbix,ombr-lcalseverini,Obramax,grafana/grafana-zabbix,1990,false,2025-03-12 17:03:25,,2025-03-12 17:40:11,,96,4
[v2] Better discovery of duplicated metrics,petewall,Grafana Labs,grafana/k8s-monitoring-helm,1314,false,2025-03-12 16:55:19,,2025-03-12 16:55:19,,24,76
Dashboards list does not honor `sort=viewed-recently-desc` in url,leeoniya,L6 @grafana,grafana/grafana,102053,true,2025-03-12 16:52:50,2025-03-14 17:49:19,2025-03-14 17:49:19,"type/bug, dogfooding, internal",26,74
Excessive Kernel NET Capabilities,Somaimo,,grafana/synthetic-monitoring-agent,1251,false,2025-03-12 16:32:21,,2025-03-14 15:09:54,,66,34
Viewers_can_edit https://github.com/grafana/grafana/pull/101767,eleijonmarck,Software Engineer - Grafana Labs,grafana/grafana,102052,false,2025-03-12 16:27:14,,2025-03-12 16:28:14,internal,100,0
Editors_can_admin https://github.com/grafana/grafana/pull/101607,eleijonmarck,Software Engineer - Grafana Labs,grafana/grafana,102051,true,2025-03-12 16:27:00,2025-03-12 16:28:00,2025-03-12 16:28:00,internal,5,95
Log panel error state: more explicit messages,matyax,Digital Bath,grafana/logs-drilldown,1121,false,2025-03-12 15:52:17,,2025-03-12 15:52:17,,4,96
v2 - How to add pod + namespace to metrics receivied by OTLP,marquesj2-ppb,Flutter Entertainment,grafana/k8s-monitoring-helm,1312,false,2025-03-12 15:47:39,,2025-03-12 17:23:59,,77,23
"[Bug] Modified signature on Grafana v11.4.0, unable to load the plugin and autodelete the gpx executable",Theoooooo,,grafana/grafana-infinity-datasource,1177,false,2025-03-12 15:44:23,,2025-03-13 11:34:59,,39,61
Setting: Removal of `viewers_can_edit` and `editors_can_admin`,eleijonmarck,Software Engineer - Grafana Labs,grafana/grafana,102043,false,2025-03-12 15:40:36,,2025-03-14 08:58:01,internal,59,41
Very high CPU usage,Vormillion,,grafana/k6-operator,529,false,2025-03-12 15:38:33,,2025-03-13 15:44:57,,52,48
Transformations: Merge doesn't work when there is an empty frame,gelicia,Grafana,grafana/grafana,102039,false,2025-03-12 15:24:15,,2025-03-12 15:24:29,"type/bug, area/transformations",90,10
SQL Expressions: Time Series Multi Responses not Converting Correctly,kylebrandt,@grafana ,grafana/grafana,102037,false,2025-03-12 15:11:55,,2025-03-13 14:26:24,"type/bug, internal, area/expressions/sql",11,89
add handlesummary typedef to  k6-DefinitelyTyped,arukiidou,,grafana/k6,4625,false,2025-03-12 15:10:27,,2025-03-12 15:27:13,feature,93,7
Move `--no-summary` as a `--summary-mode` and deprecate it,joanlopez,@grafana,grafana/k6,4624,false,2025-03-12 15:05:06,,2025-03-12 15:05:22,ux,90,10
Add tools for Alertmanager,ioanarm,,grafana/mcp-grafana,38,false,2025-03-12 14:59:53,,2025-03-12 15:00:42,tools,25,75
TraceQL fails on &&ing attributes to true,joe-elliott,,grafana/tempo,4839,true,2025-03-12 14:28:22,2025-03-16 22:01:31,2025-03-16 22:01:31,"type/bug, traceql",99,1
alerting docs: make OnCall > IRM changes in alerting docs,JohnnyK-Grafana,@grafana,grafana/grafana,102034,false,2025-03-12 14:18:03,,2025-03-12 20:13:10,internal,8,92
Helm: Evaluate some Helm values as templates with the `tpl` function,sboschman,Topicus.Education,grafana/alloy,2971,false,2025-03-12 13:35:17,,2025-03-12 13:35:17,enhancement,94,6
Expose i18n functions to plugins through `@grafana/runtime`,joshhunt,@grafana,grafana/grafana,102028,false,2025-03-12 13:04:20,,2025-03-12 13:05:32,area/internationalization,34,66
Deprecated configuration warning in the log after the upgrade of the operator,sankosa,Qualysoft,grafana/tempo-operator,1136,false,2025-03-12 12:45:16,,2025-03-12 13:54:40,,19,81
Node Graph: Multiple duplicate data link menu items,alexbikfalvi,@grafana,grafana/grafana,102017,false,2025-03-12 10:50:29,,2025-03-13 09:51:17,area/panel/node-graph,19,81
Bug: tsdb.NewCircularExemplarStorage instantiated with wrong size at startup,colega,@grafana,grafana/mimir,10866,false,2025-03-12 10:49:15,,2025-03-12 10:49:15,bug,50,50
Tempo: Bug when escaping regex in TraceQL Search editor,adrapereira,,grafana/grafana,102015,false,2025-03-12 10:38:10,,2025-03-12 10:38:10,"type/bug, prio/high, internal",30,70
Add tools to query Loki,sd2k,Grafana Labs,grafana/mcp-grafana,33,false,2025-03-12 10:33:12,,2025-03-12 10:34:30,tools,20,80
Support additional trusted hosts specified by the Grafana admin,aangelisc,,grafana/azure-data-explorer-datasource,1227,false,2025-03-12 10:23:57,,2025-03-12 10:23:57,"type/bug, datasource/ADX",63,37
Add tools for Grafana IRM,sd2k,Grafana Labs,grafana/mcp-grafana,32,false,2025-03-12 10:16:50,,2025-03-17 10:50:44,tools,57,43
Build and create releases in CI,sd2k,Grafana Labs,grafana/mcp-grafana,31,true,2025-03-12 10:14:29,2025-03-12 14:26:04,2025-03-12 14:26:04,,16,84
Remove the custom faro.tracing event sent for HTTP events,robert-northmind,Grafana Labs,grafana/faro-flutter-sdk,41,false,2025-03-12 10:04:42,,2025-03-12 10:04:47,bug,34,66
TraceQL lacks cohesive solution with PromQL & LogQL to filter on optional OTel attributes,cyrille-leclerc,Grafana Labs,grafana/tempo,4836,false,2025-03-12 08:32:58,,2025-03-14 18:31:46,"enhancement, traceql",62,38
Timeseries: Entering linear threshold for symlog freezes tab,Paulemeister,,grafana/grafana,102002,false,2025-03-12 08:26:18,,2025-03-12 08:29:31,"type/bug, area/panel/timeseries, automated-triage",60,40
Stage for static structured metadata,not-my-profile,,grafana/loki,16703,false,2025-03-12 06:27:34,,2025-03-12 06:50:52,,31,69
Grafana grouped Alerts notification getting truncated due to message chars limit,KartikSareen18,,grafana/grafana,101989,false,2025-03-12 05:31:01,,2025-03-12 05:34:10,"type/feature-request, area/alerting, automated-triage",82,18
[New Data Source]: <name-of-service>,Morhef,,grafana/grafana,101988,true,2025-03-12 04:18:40,2025-03-12 13:10:37,2025-03-12 13:10:37,"type/feature-request, area/plugins, automated-triage, area/provisioning/datasources",97,3
[New Data Source]: <name-of-service>,Morhef,,grafana/grafana,101987,true,2025-03-12 04:18:17,2025-03-12 13:10:30,2025-03-12 13:10:30,"type/feature-request, area/plugins, area/provisioning, automated-triage, area/provisioning/datasources",34,66
"Explore/GrafanaLogsDrilldown: meets expetion: ""failed to parse series labels to categorize labels""",CuteLeon,,grafana/logs-drilldown,1125,false,2025-03-12 03:19:37,,2025-03-17 18:40:25,bug,4,96
How to disable metrics_generator to generate metrics,ixiaoyi93,,grafana/tempo,4835,false,2025-03-12 03:03:50,,2025-03-13 19:20:00,,5,95
helm: Add support for enterprise provisioner (FedRAMP),rbrady,@grafana,grafana/mimir,10864,false,2025-03-12 01:33:26,,2025-03-12 01:33:26,enhancement,10,90
Client cache switch should control the correct query,chejimmy,,grafana/iot-sitewise-datasource,450,false,2025-03-12 00:55:44,,2025-03-12 01:02:43,"type/bug, datasource/Sitewise",69,31
Improve Beyla + Alloy config examples,rafaelroquetto,,grafana/beyla,1736,true,2025-03-12 00:13:27,2025-03-13 09:48:10,2025-03-13 09:48:10,type/docs,42,58
Chore: Migrate `pr-docs` pipeline to GHAs,baldm0mma,,grafana/grafana,101981,true,2025-03-11 22:36:50,2025-03-13 19:35:14,2025-03-13 19:35:15,"type/ci, no-changelog, internal",45,55
[feature] ability to set memberlist port in the Loki chart,tredman,,grafana/loki,16699,false,2025-03-11 22:08:11,,2025-03-11 22:08:11,,4,96
Panic on startup,abacef,,grafana/loki,16698,false,2025-03-11 22:07:25,,2025-03-11 22:07:25,,61,39
alerting docs: update alert rule history,JohnnyK-Grafana,@grafana,grafana/grafana,101979,true,2025-03-11 21:47:23,2025-03-12 18:54:42,2025-03-12 18:54:42,internal,51,49
@'verbatim \ strings' seem to not be highlighted properly,asottile-sentry,,grafana/vscode-jsonnet,53,false,2025-03-11 20:58:12,,2025-03-11 20:58:12,,66,34
Docs: Add docs for deleting rules and recovery,yuri-tceretian,,grafana/grafana,101971,false,2025-03-11 20:30:14,,2025-03-17 20:50:29,internal,48,52
Replace deprecated nonsensitive with convert.nonsensitive,jangaraj,Monitoring Artist,grafana/k8s-monitoring-helm,1310,true,2025-03-11 20:29:14,2025-03-12 16:19:47,2025-03-12 16:19:47,,75,25
Add better UI for loading state when loading recordings,allansson,,grafana/k6-studio,547,false,2025-03-11 19:13:33,,2025-03-11 19:13:33,,37,63
No way to edit Auto resolution field in template for grafana oncall,salarali,@StackAdapt ,grafana/terraform-provider-grafana,2070,false,2025-03-11 18:52:12,,2025-03-11 18:52:35,,55,45
Automate trivy scans,paul1r,Grafana Labs,grafana/loki-release,231,false,2025-03-11 18:27:32,,2025-03-11 18:27:32,,42,58
Support for Timestamps without Date,excalq,Thrackle.io,grafana/alloy,2963,false,2025-03-11 18:26:51,,2025-03-11 18:27:32,bug,11,89
Chore: Migrate `pr-verify-storybook` to GHAs,baldm0mma,,grafana/grafana,101967,true,2025-03-11 18:13:04,2025-03-11 21:28:16,2025-03-11 22:37:50,"type/ci, no-changelog, internal",10,90
[v2] Duplicated cluster label with no way to disable it,marcinmigda-spoton,,grafana/k8s-monitoring-helm,1308,false,2025-03-11 17:19:53,,2025-03-13 16:33:12,,69,31
Panels: Expressions broken when multiplying small numbers by large numbers,kirwinrMK,,grafana/grafana,101962,false,2025-03-11 17:08:44,,2025-03-11 17:12:09,"type/bug, area/expressions, type/regression, area/dashboards/panel, automated-triage",43,57
Idea: Automatically set GOMEMLIMIT for Mimir components,dewjam,AWS,grafana/mimir,10860,false,2025-03-11 16:59:36,,2025-03-11 17:31:14,enhancement,80,20
[Feature request] handle each request in a go routing to handle them concurrently,srahi,,grafana/grafana-infinity-datasource,1172,false,2025-03-11 16:35:07,,2025-03-12 09:35:43,,23,77
Bug: Ruler seeing errors while streaming chunks from ingester for a specific tenant,bhargavmg,Qlik,grafana/mimir,10859,true,2025-03-11 16:31:15,2025-03-11 19:25:59,2025-03-11 19:25:59,bug,23,77
Use types from grafana-app-sdk in frontend and remove the custom cog for dashboards,ivanortegaalba,Grafana Labs,grafana/grafana,101956,false,2025-03-11 16:12:13,,2025-03-12 16:08:56,"internal, team/grafana-dashboards",24,76
Beyla showing traffic that does not exist,bjor-joh,,grafana/beyla,1734,false,2025-03-11 15:06:56,,2025-03-12 08:01:05,,93,7
"Alerting: ""Rule group does not exist"" error",soniaAguilarPeiron,@grafana,grafana/grafana,101949,false,2025-03-11 14:58:22,,2025-03-11 15:14:32,"type/bug, area/alerting, area/frontend, internal",62,38
Add more end-2-end tests for Alloy language features,thampiotr,Grafana Labs,grafana/alloy,2956,false,2025-03-11 14:37:34,,2025-03-11 14:37:37,,67,33
Possible typo in backend statefulset helm template,SteveJones,,grafana/loki,16683,false,2025-03-11 14:33:56,,2025-03-12 18:27:24,"area/helm, type/bug",33,67
v2 - How do we collect jmx based metrics?,ceastman-r7,Rapid7,grafana/k8s-monitoring-helm,1307,false,2025-03-11 13:43:48,,2025-03-11 13:43:57,,50,50
Resizing the Trace drawer clears span filters and search,nadinevehling,@grafana,grafana/traces-drilldown,357,false,2025-03-11 13:40:11,,2025-03-11 13:40:11,"bug, area/frontend",71,29
TableNG: Add footer calculations overrides,Develer,Grafana Labs,grafana/grafana,101941,false,2025-03-11 13:34:01,,2025-03-14 16:33:56,area/panel/table,30,70
Make browser script test self-contained,nadiamoe,@grafana ,grafana/xk6-sm,85,false,2025-03-11 13:32:33,,2025-03-11 13:32:33,,7,93
Allow lenient marshaling of disjunctions,radiohead,@grafana,grafana/cog,778,true,2025-03-11 13:16:14,2025-03-13 16:03:43,2025-03-13 16:03:43,,20,80
TableNG: Cell coloring options improvements,Develer,Grafana Labs,grafana/grafana,101938,false,2025-03-11 13:16:11,,2025-03-11 13:16:11,area/panel/table,93,7
Add namespaced CRUDL clients,radiohead,@grafana,grafana/grafana-app-sdk,690,true,2025-03-11 13:07:54,2025-03-14 16:03:46,2025-03-14 16:03:46,,75,25
Alerting: DatasourceError / DatasourceNoData unreliable behaviour with labelling,Vimao,,grafana/grafana,101936,false,2025-03-11 12:36:39,,2025-03-17 13:28:32,"type/bug, area/alerting, automated-triage",86,14
"Alerting: Viewing ""alert rules"" page leads to datasource authentication failed log message",pwurbs,T-Systems International GmbH,grafana/grafana,101932,false,2025-03-11 12:17:59,,2025-03-14 07:16:05,"type/bug, area/auth, area/alerting, datasource/Prometheus, automated-triage",94,6
JSON schema validation error when used as subchart,illrill,@accenture,grafana/k6-operator,528,true,2025-03-11 11:16:13,2025-03-13 09:33:04,2025-03-13 12:43:41,"bug, helm",85,15
traces-drilldown cannot query any data,ixiaoyi93,,grafana/traces-drilldown,355,true,2025-03-11 10:33:50,2025-03-12 02:01:22,2025-03-12 02:01:24,,100,0
Add http retries for pull/push,mblaschke-daimlertruck,Daimler Truck AG,grafana/grizzly,596,false,2025-03-11 10:33:43,,2025-03-11 10:33:43,,75,25
Map missing Beyla options in Alloy component,,,grafana/beyla,1728,false,2025-03-11 10:33:16,,2025-03-14 11:44:25,,36,64
TraceView: Unify data links,ifrost,,grafana/grafana,101925,false,2025-03-11 10:27:16,,2025-03-11 10:45:30,"area/panel/traceview, internal",55,45
Label regular expression filters misinterpreting backticks,kelnage,,grafana/loki,16674,false,2025-03-11 09:46:05,,2025-03-11 13:45:06,,69,31
Clean `k6/experimental/webcrypto` up,olegbespalov,Grafana Labs,grafana/k6,4620,false,2025-03-11 09:45:38,,2025-03-11 09:45:38,area: webcrypto,4,96
Improve the toast notifications,going-confetti,@grafana,grafana/k6-studio,545,false,2025-03-11 09:05:47,,2025-03-11 09:05:47,"needs-triage, collab/design",15,85
Is piechart-panel v1.6.4 compatible with Grafana v11.0.0,Viju-22,,grafana/piechart-panel,314,false,2025-03-11 08:58:02,,2025-03-11 08:58:02,,86,14
Synthetic monitoring agent unable to connect to Grafana API: API does not support required features,hnajib-sym,,grafana/synthetic-monitoring-agent,1246,false,2025-03-11 08:54:17,,2025-03-17 13:15:02,,61,39
[bug][pyroscope] Pyroscope does not ingest Speedscope files with multiple profiles,lagutrop,,grafana/pyroscope,3989,false,2025-03-11 08:45:11,,2025-03-12 05:09:59,,78,22
bug: ERROR build error resolving dependency: executing go command: exit status 1,coder2z,,grafana/xk6-kubernetes,125,false,2025-03-11 04:55:35,,2025-03-11 04:59:40,,91,9
[New Data Source]: <Amazon Q>,nidhi0512,,grafana/grafana,101916,false,2025-03-11 04:27:38,,2025-03-11 04:27:38,"area/datasource, type/new-plugin-request",34,66
Documentation Mentions Removed Instrumentations (User Interaction & Document Load),AnnieChi1020,,grafana/faro-web-sdk,1025,false,2025-03-11 04:11:31,,2025-03-11 11:36:36,,91,9
Implement a source map upload CLI tool,eskirk,@grafana,grafana/faro-javascript-bundler-plugins,103,true,2025-03-11 00:26:06,2025-03-17 19:55:55,2025-03-17 19:55:55,,78,22
Idea: Support Prometheus' `keep_identifying_resource_attributes` on Mimir's OTLP endpoint,cyrille-leclerc,Grafana Labs,grafana/mimir,10855,true,2025-03-10 22:49:14,2025-03-11 08:36:28,2025-03-11 08:45:44,"enhancement, invalid, area/opentelemetry",38,62
TraceQL Metrics: Fields not correctly retrieved when rating with structural operators,joe-elliott,,grafana/tempo,4828,false,2025-03-10 21:47:01,,2025-03-10 21:51:19,"type/bug, traceql",75,25
Alert Contact Points not updating,elitegreg,,grafana/grafana-ansible-collection,335,false,2025-03-10 20:34:16,,2025-03-10 20:34:55,,17,83
Improve spinner visibility in Validator dialog,cristianoventura,,grafana/k6-studio,544,true,2025-03-10 20:30:18,2025-03-13 17:43:39,2025-03-13 17:43:39,enhancement,63,37
Add component health state monitoring,6fears7,,grafana/alloy,2953,false,2025-03-10 20:20:33,,2025-03-10 20:25:12,enhancement,42,58
Runtime error when using JSON Selector with [0] for array access,cristianoventura,,grafana/k6-studio,542,true,2025-03-10 19:28:04,2025-03-12 15:14:24,2025-03-12 15:14:24,bug,66,34
Table: Add actions support,adela-almasan,,grafana/grafana,101907,false,2025-03-10 19:18:19,,2025-03-10 19:18:19,"area/panel/table, area/actions",24,76
Actions: Authentication research,adela-almasan,,grafana/grafana,101906,false,2025-03-10 19:16:02,,2025-03-10 19:16:02,area/actions,84,16
Implement keyboard shortcuts for saving generator,cristianoventura,,grafana/k6-studio,541,true,2025-03-10 19:06:44,2025-03-12 15:54:36,2025-03-12 15:54:36,enhancement,9,91
Pre-select the domain user entered when started recording,cristianoventura,,grafana/k6-studio,540,false,2025-03-10 18:59:08,,2025-03-10 19:00:37,enhancement,16,84
Epic: Sparklines,staton-hyse11,Grafana Labs,grafana/grafana,101904,false,2025-03-10 18:54:53,,2025-03-10 18:58:49,"type/epic, internal",79,21
Epic: Panel Edit redesign,staton-hyse11,Grafana Labs,grafana/grafana,101903,false,2025-03-10 18:51:29,,2025-03-10 18:51:31,"type/epic, area/panel/edit, internal",77,23
Design: Time comparison - Compare data from different time frames,imatwawana,,grafana/grafana,101902,false,2025-03-10 18:41:32,,2025-03-10 18:46:03,"area/panel/timeseries, internal, area/product-design",7,93
[New Data Source]: <name-of-service>,Gutierrez-Maxwell-Cortes,,grafana/grafana,101901,false,2025-03-10 18:17:36,,2025-03-10 18:17:36,"area/datasource, type/new-plugin-request",12,88
trace2logs on the built-in `grafanacloud-xxx-traces` datasource is confusing,cyrille-leclerc,Grafana Labs,grafana/grafana,101900,false,2025-03-10 18:03:49,,2025-03-17 14:51:10,"datasource/Tempo, area/logs",88,12
Add new languages to crowdin configuration,joshhunt,@grafana,grafana/grafana,101895,true,2025-03-10 17:12:28,2025-03-10 17:38:44,2025-03-10 17:38:46,internal,64,36
"Bug: mimir-distributed, it's possible to set the ingesters PersistentVolumeClaimTemplate Name, but this is not used everywhere",thoro,,grafana/mimir,10853,false,2025-03-10 16:50:58,,2025-03-10 16:51:15,bug,71,29
Design: Table Header - filter/sort enhancements,adela-almasan,,grafana/grafana,101893,true,2025-03-10 16:49:17,2025-03-10 18:26:31,2025-03-10 18:33:06,"area/panel/table, area/product-design",55,45
Some generated rules do not work with LogQL,l00d3r,,grafana/pySigma-backend-loki,203,false,2025-03-10 16:20:05,,2025-03-11 10:58:30,"bug, querying",69,31
Support converting telemetry service from Otel config file,wildum,,grafana/alloy,2949,false,2025-03-10 15:49:05,,2025-03-11 11:52:55,,2,98
ESM-ify summary wrapper,mstoykov,,grafana/k6,4619,false,2025-03-10 15:46:28,,2025-03-10 15:46:28,refactor,68,32
Support converting env variables from Otel config file,wildum,,grafana/alloy,2947,false,2025-03-10 15:45:01,,2025-03-17 18:30:22,,17,83
[Tracking] Improve conversion of Otel config,wildum,,grafana/alloy,2946,false,2025-03-10 15:42:29,,2025-03-10 15:54:25,,96,4
Existing Resources are forcing to be recreated,kmocva,,grafana/terraform-provider-grafana,2061,false,2025-03-10 15:31:04,,2025-03-10 15:31:04,,70,30
"Having two tabs open and edit the same dashboard, it allowed med to overwrite the changes from the other tab without warning",ivanortegaalba,Grafana Labs,grafana/grafana,101887,false,2025-03-10 15:15:36,,2025-03-10 15:27:19,"area/schema, internal, team/grafana-dashboards",61,39
Fix broken links in Tempo docs,knylander-grafana,Grafana,grafana/tempo,4826,true,2025-03-10 14:34:35,2025-03-11 05:23:05,2025-03-11 05:23:05,type/docs,94,6
Design an extensible mechanism to group metrics in the end-of-test summary,joanlopez,@grafana,grafana/k6,4617,false,2025-03-10 14:24:30,,2025-03-10 14:51:42,"enhancement, ux, medium prio",20,80
TableNG: Add support for enabling text wrap per column,Develer,Grafana Labs,grafana/grafana,101883,false,2025-03-10 14:19:08,,2025-03-10 14:20:38,area/panel/table,79,21
Add possibility to run backend tests with race detector,zoltanbedi,@grafana ,grafana/grafana-plugin-sdk-go,1262,true,2025-03-10 14:13:36,2025-03-14 13:54:51,2025-03-14 13:54:51,enhancement,95,5
Managed Alerting Editor: Does not work with SQL Expressions,kylebrandt,@grafana ,grafana/grafana,101877,false,2025-03-10 12:18:11,,2025-03-10 12:18:11,"area/alerting, area/frontend, internal, area/expressions/sql",23,77
Version Pinning Review Found Expired Pinned Versions,,,grafana/runner-images,143,false,2025-03-10 12:08:16,,2025-03-10 12:08:16,,88,12
Optimize for startup time,brunobat,Red Hat,grafana/docker-otel-lgtm,330,true,2025-03-10 12:00:35,2025-03-10 15:54:33,2025-03-10 15:54:34,,32,68
Bug: OTLP responses should match content-type of requests,fionaliao,,grafana/mimir,10847,false,2025-03-10 11:23:27,,2025-03-10 16:12:11,"bug, area/opentelemetry",30,70
Go: Add constraints validation in constructor,spinillos,@grafana ,grafana/cog,776,false,2025-03-10 11:08:49,,2025-03-10 11:08:49,language:golang,10,90
Typescript: Add constraints validation in constructor,spinillos,@grafana ,grafana/cog,775,false,2025-03-10 11:08:18,,2025-03-10 11:08:18,language:typescript,34,66
PHP: Add constraints validation in constructor,spinillos,@grafana ,grafana/cog,774,false,2025-03-10 11:07:36,,2025-03-14 10:45:13,language:php,71,29
Ptyhon: Add constraints validation in constructor,spinillos,@grafana ,grafana/cog,773,false,2025-03-10 11:06:58,,2025-03-10 11:06:58,python,84,16
Java: Add constraints validation in constructor.,spinillos,@grafana ,grafana/cog,772,false,2025-03-10 11:06:18,,2025-03-10 11:06:31,language:java,85,15
Plugins: Update core plugins plugin.json with raise issue and documentation links,Ukochka,Grafana Labs,grafana/grafana,101868,true,2025-03-10 10:42:03,2025-03-12 13:15:47,2025-03-12 13:15:47,internal,30,70
Parameterized trace generator doesn't have root span,namm2,,grafana/xk6-client-tracing,34,true,2025-03-10 10:23:22,2025-03-12 01:07:48,2025-03-12 01:07:48,bug,8,92
Replace go-kit/log with log/slog,javiermolinar,Grafana Labs,grafana/tempo,4819,false,2025-03-10 09:44:01,,2025-03-16 13:59:30,"enhancement, good first issue",41,59
Add loki rules unit testing support,QuentinBisson,Giant Swarm,grafana/loki,16659,false,2025-03-10 09:29:52,,2025-03-12 18:27:09,"type/feature, component/lokitool",35,65
chore: Playwright needs updating to 1.51.0,ifrost,,grafana/explore-profiles,452,true,2025-03-10 09:28:54,2025-03-10 09:38:56,2025-03-10 09:38:56,tech,88,12
Question about Promise,Shnitzelil,Here,grafana/sobek,55,true,2025-03-10 08:24:35,2025-03-10 17:12:48,2025-03-10 17:12:48,question,1,99
Why not improve SQL output?,mapno,@grafana,grafana/grafana,101858,false,2025-03-10 08:18:38,,2025-03-10 08:19:36,"type/ux, area/explore, area/tracing, datasource/Tempo",43,57
Grafana oncall plugin giving issues and not connecting,Aman1994,Enableit.dk,grafana/oncall,5492,false,2025-03-10 07:32:26,,2025-03-10 07:37:46,"bug, part:schedules, needs triage",68,32
misconfigured component is created twice,korniltsev,@grafana,grafana/alloy,2937,false,2025-03-10 04:12:43,,2025-03-10 09:20:53,bug,19,81
Expand variable values when opening the Explore page from a panel,maxgaponov,,grafana/grafana,101855,false,2025-03-10 03:14:27,,2025-03-10 08:33:06,"type/feature-request, needs investigation, area/explore, automated-triage, area/dashboard/variable",89,11
Visualization selector in Explore,maxgaponov,,grafana/grafana,101854,false,2025-03-10 03:10:00,,2025-03-10 03:13:24,"type/feature-request, area/explore, automated-triage",70,30
"Drop AWS SDK for Go v1 and upgrade to v2 before EOL/end-of-support at July 31, 2025 / fix CVE-2020-8911 + CVE-2020-8912 - Alloy",rgoltz,@dbsystel,grafana/alloy,2936,false,2025-03-09 17:46:12,,2025-03-09 17:46:12,enhancement,100,0
"Switch to AWS SDK v2 before v1 is end-of-support/EOL on July 31, 2025 - Grafana Alerting Library",rgoltz,@dbsystel,grafana/alerting,303,false,2025-03-09 17:36:05,,2025-03-09 17:36:05,,36,64
"Switch to AWS SDK v2 before v1 is end-of-support/EOL on July 31, 2025 - Grafana Dskit",rgoltz,@dbsystel,grafana/dskit,663,true,2025-03-09 17:12:40,2025-03-17 08:48:31,2025-03-17 09:26:36,,60,40
"Awareness for end-of-support/EOL of AWS SDK v1 in indirect-require deps (update ref/switch to v2 before July 31, 2025)",rgoltz,@dbsystel,grafana/beyla,1727,false,2025-03-09 17:09:11,,2025-03-10 09:21:06,,45,55
otelcol.exporter.kafka | unrecognized encoding,mdvaliyullah,,grafana/alloy,2935,true,2025-03-09 15:34:41,2025-03-10 12:04:24,2025-03-10 12:04:24,bug,12,88
Bump x/oauth2 and x/crypto to resolve CVE-2025-22868 + CVE-2025-22869 in Alloy,rgoltz,@dbsystel,grafana/alloy,2933,true,2025-03-09 14:10:00,2025-03-10 10:45:32,2025-03-10 10:45:32,enhancement,44,56
Scrollable Geomap Overlay/Infobox/Tooltip,crashedthecymbal,,grafana/grafana,101852,false,2025-03-09 11:19:43,,2025-03-09 11:22:57,"type/feature-request, area/panel/geomap, area/tooltip, automated-triage",46,54
performance drop due to incorrect logql type parsing,ftong2020,,grafana/loki,16653,false,2025-03-09 08:12:22,,2025-03-15 22:38:30,"component/query-frontend, type/bug",74,26
"Allow time series table ""Name"" field to be sorted numerically",marco-kusa,,grafana/grafana,101849,false,2025-03-08 23:19:22,,2025-03-08 23:22:38,"type/feature-request, area/legend, automated-triage",48,52
Browser module not found in 0.57,cars-matt-b,,grafana/k6-docs,1885,true,2025-03-08 19:10:19,2025-03-08 19:23:10,2025-03-08 19:23:10,,56,44
Demangle not working on ebpf with rust code,Sh4d1,amo,grafana/pyroscope,3982,false,2025-03-08 11:41:30,,2025-03-08 11:41:30,,6,94
Candlestick too thin some time,tursom,,grafana/grafana,101847,false,2025-03-08 10:26:31,,2025-03-08 10:29:54,"type/bug, datasource/InfluxDB, area/panel/candlestick, automated-triage",53,47
Idea: rate-limit message should let you know whether it was rate or burst that was exceeded.,bboreham,Grafana Labs,grafana/mimir,10833,true,2025-03-08 09:50:25,2025-03-11 12:58:07,2025-03-11 12:58:07,"enhancement, component/distributor",25,75
Logs cannot be query after migrate to tsdb,wwyhy,,grafana/loki,16650,false,2025-03-08 04:25:25,,2025-03-12 18:24:22,"type/bug, upgrade",21,79
